96,32,96,32,112,160,1,1,3
64,16,64,16,16,144,-2,2,3
288,16,288,16,192,16,-1,0,2
80,80,80,80,96,80,0,0,0
144,0,144,0,144,64,0,1,2
160,16,160,16,208,160,2,2,3
272,0,272,0,272,80,0,1,1
16,112,16,112,128,128,1,1,3
48,16,48,16,80,160,1,1,3
144,32,144,32,128,112,-1,1,3
176,64,176,64,192,144,1,1,3
272,32,272,32,256,160,-1,1,3
176,112,176,112,288,144,1,1,3
144,144,144,144,80,144,-1,0,2
240,0,240,0,240,16,0,1,2
0,0,0,0,0,0,0,0,0
144,16,144,16,192,128,1,1,3
112,32,112,32,64,128,-1,1,3
256,16,256,16,256,160,0,2,1
0,0,0,0,0,0,0,0,0
32,112,32,112,128,160,1,1,3
288,112,288,112,160,160,-1,1,3
208,16,208,16,48,16,-1,0,2
0,0,0,0,0,0,0,0,0
128,16,128,16,128,64,0,1,2
160,96,160,96,272,144,2,2,3
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
176,16,176,16,192,160,1,1,3
240,48,240,48,240,144,0,2,1
64,32,64,32,128,80,1,1,3
96,80,96,80,80,80,-1,0,0
160,64,160,64,288,48,1,-1,3
48,16,48,16,48,96,0,1,1
144,160,144,160,288,176,1,1,3
0,0,0,0,0,0,0,0,0
112,32,112,32,128,144,1,1,3
96,160,96,160,208,160,1,0,4
224,64,224,64,224,144,0,1,1
0,0,0,0,0,0,0,0,0
288,48,288,48,192,48,-1,0,2
64,48,64,48,176,48,1,0,2
272,112,272,112,96,112,-1,0,3
0,0,0,0,0,0,0,0,0
48,16,48,16,80,160,1,1,3
80,32,80,32,48,144,-1,1,3
288,64,288,64,224,64,-1,0,2
32,48,32,48,256,48,1,0,4
256,32,256,32,256,160,0,2,1
64,16,64,16,96,112,1,1,3
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
176,16,176,16,192,160,1,1,3
64,64,64,64,48,64,-1,0,2
128,16,128,16,128,80,0,1,1
0,0,0,0,0,0,0,0,0
64,64,64,64,64,160,0,1,4
96,32,96,32,288,80,1,1,3
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
224,112,224,112,64,112,-1,0,4
112,16,112,16,112,96,0,1,4
128,48,128,48,272,96,1,1,3
0,0,0,0,0,0,0,0,0
272,80,272,80,144,80,-1,0,4
96,16,96,16,96,160,0,1,4
288,160,288,160,80,160,-1,0,2
0,0,0,0,0,0,0,0,0
272,80,272,80,64,80,-1,0,4
256,32,256,32,256,112,0,1,1
208,32,208,32,208,160,0,1,1
0,0,0,0,0,0,0,0,0
16,64,16,64,128,64,1,0,3
176,16,176,16,192,128,1,1,3
288,144,288,144,256,144,-1,0,2
0,0,0,0,0,0,0,0,0
16,80,16,80,128,96,1,1,1
208,16,208,16,240,112,1,1,3
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
240,112,240,112,160,112,-1,0,3
128,16,128,16,128,80,0,1,1
32,16,32,16,32,96,0,1,2
0,0,0,0,0,0,0,0,0
48,112,48,112,272,112,1,0,4
272,32,272,32,48,32,-1,0,4
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
224,32,224,32,224,144,0,1,4
160,128,160,128,160,32,0,-1,4
192,16,192,16,192,160,0,1,1
128,160,128,160,128,32,0,-1,1
288,64,288,64,80,64,-1,0,4
144,64,144,64,144,160,0,1,1
128,144,128,144,128,64,0,-1,1
0,0,0,0,0,0,0,0,0
112,80,112,80,112,160,0,1,1
272,80,272,80,272,144,0,1,4
160,144,160,144,256,144,1,0,3
16,48,16,48,16,160,0,1,0
64,16,64,16,64,128,0,1,3
192,16,192,16,208,128,1,1,3
128,64,128,64,128,96,0,1,1
0,0,0,0,0,0,0,0,0
80,64,80,64,160,64,1,0,2
208,32,208,32,208,112,0,1,1
224,48,224,48,224,112,0,1,1
0,0,0,0,0,0,0,0,0
48,80,48,80,48,112,0,1,1
144,16,144,16,176,112,1,1,3
256,48,256,48,256,112,0,1,1
0,0,0,0,0,0,0,0,0
112,16,112,16,128,112,1,1,3
176,128,176,128,208,128,1,0,2
240,16,240,16,240,144,0,2,1
0,0,0,0,0,0,0,0,0
128,16,128,16,208,80,1,1,3
80,16,80,16,80,96,0,1,1
272,64,272,64,272,128,0,1,1
224,96,224,96,64,96,-1,0,2
